date,Product_A_Revenue,Product_B_Revenue,Product_C_Revenue,Foot_Traffic,Online_Ads,TV_Ads,Direct_Mail_Offer,Email_Offer
01-Feb-05,34597,17278,25361,27,9003,3344610,26000,5400
01-Mar-05,35220,8214,12666,17,9435,2923136,28000,7100
01-Apr-05,34564,11112,8713,27,9305,2814075,28000,11400
01-May-05,36778,13447,20273,36,9069,2782167,31000,5200
01-Jun-05,38883,11751,12767,28,9516,2883656,35000,7000
01-Jul-05,39468,13703,10732,36,9174,2803141,36000,9000
01-Aug-05,38714,16228,13707,35,10047,2697308,35000,8600
01-Sep-05,43817,11958,17266,25,9173,3372318,34000,7900
01-Oct-05,46251,16493,17768,32,9887,3070969,36000,9200
01-Nov-05,40401,11907,24860,26,8740,3061922,32000,8200
01-Dec-05,60643,26432,30120,39,12768,2843554,45000,8900
01-Jan-06,23664,12340,11616,36,9281,2707919,35000,8000
01-Feb-06,24401,10750,13871,28,9914,2774694,37000,5800
01-Mar-06,37879,11470,10975,28,9516,2698971,37000,8400
01-Apr-06,41884,11747,12619,29,9510,3011731,41000,7900
01-May-06,53541,21229,29351,33,10378,3050791,37000,7900
01-Jun-06,39529,11683,11730,27,9286,2633739,38000,6800
01-Jul-06,43131,12900,12965,32,10206,3438665,35000,8800
01-Aug-06,38644,14274,15087,33,9731,2901832,33000,8000
01-Sep-06,44413,15444,14242,33,9705,2829960,35000,8200
01-Oct-06,46640,16824,18343,29,9873,3194243,36000,8300
01-Nov-06,49282,15439,24041,29,10239,3245062,40000,9200
01-Dec-06,65197,27832,32846,42,12619,3404963,49000,9300
01-Jan-07,22513,12726,12028,37,9598,2709293,31000,7200
01-Feb-07,22573,12583,12063,33,9924,2814224,28000,7700
01-Mar-07,37414,12641,11660,30,9938,2648864,32000,7000
01-Apr-07,41151,15439,12551,37,10336,2919742,38000,7200
01-May-07,42419,11314,20888,27,10078,3153969,37000,6600
01-Jun-07,35912,15957,12082,40,10502,2842415,28000,7700
01-Jul-07,34902,14711,9938,37,9727,2746778,30000,10100
01-Aug-07,40582,17778,17401,36,10843,2998277,32000,6600
01-Sep-07,61179,26931,26013,43,10195,3170632,40000,8500
01-Oct-07,44547,19136,14287,37,10069,2290904,40000,8700
01-Nov-07,50375,17430,26373,33,10413,3240011,42000,8200
01-Dec-07,63824,31090,29038,54,13194,3081616,50000,10200
01-Jan-08,38327,23968,22947,45,10363,3124464,38000,8000
01-Feb-08,26803,17439,13106,47,10315,2986880,39000,7500
01-Mar-08,43727,17883,13842,47,10942,2713190,43000,5100
01-Apr-08,44154,12689,9597,30,10430,2460819,45000,9100
01-May-08,50111,12694,17361,31,10259,2925161,56000,8200
01-Jun-08,23246,6767,5984,31,10537,2867514,49000,7700
01-Jul-08,44049,13586,13490,28,11330,2890327,41000,6600
01-Aug-08,38978,12652,11397,26,10260,2492565,39000,9900
01-Sep-08,45706,16536,18238,35,10459,2891853,34000,5100
01-Oct-08,44370,22534,12412,45,10922,2399103,36000,11000
01-Nov-08,47943,19229,23348,35,10599,2895602,38000,8500
01-Dec-08,73918,28695,38232,39,14508,4002778,52000,9600
01-Jan-09,28183,17679,12884,47,9862,3098143,42000,8000
01-Feb-09,28526,16991,14240,39,11626,3086411,40000,6900
01-Mar-09,44341,16376,13989,40,10719,3087874,42000,7200
01-Apr-09,52902,22562,23359,34,10065,2996357,37000,7700
01-May-09,42483,15714,18504,34,11398,2695777,42000,8000
01-Jun-09,44115,16789,11559,40,10948,2692534,44000,8900
01-Jul-09,40648,15461,13444,36,11041,3060492,33000,7600
01-Aug-09,41638,19541,13782,41,11022,2269031,41000,7200
01-Sep-09,51195,17080,13288,37,10789,2864216,45000,10200
01-Oct-09,50884,23492,17955,41,11419,2910863,47000,8700
01-Nov-09,47876,24451,20521,45,11419,2416444,43000,8900
01-Dec-09,69113,34028,34929,52,13666,3484365,54000,9100
01-Jan-10,25647,17918,11043,40,11611,2354226,41000,7500
01-Feb-10,24422,15596,11385,36,10882,2743475,35000,8100
01-Mar-10,40030,15605,13780,37,11288,2865230,32000,6400
01-Apr-10,41055,17874,12655,43,11096,3172031,36000,8700
01-May-10,46386,17242,22998,41,11224,3224655,46000,5700
01-Jun-10,45873,17980,10990,41,11483,2928137,44000,10400
01-Jul-10,45480,19080,11888,43,11643,2559492,49000,7100
01-Aug-10,48562,18759,16731,40,10893,2886319,50000,6600
01-Sep-10,31579,3245,8642,42,1147,2952659,45000,8900
01-Oct-10,57674,23241,15048,38,12260,2629605,51000,10600
01-Nov-10,52062,22452,21102,39,11168,2144737,50000,7800
01-Dec-10,75818,38237,33786,59,14370,3110975,63000,8500
01-Jan-11,31268,22029,10389,50,11890,2447430,53000,9200
01-Feb-11,31515,17720,15583,42,11722,3210583,50000,5700
01-Mar-11,49715,19409,11648,50,11589,2714316,53000,8600
01-Apr-11,52026,14170,13117,32,11633,2834967,58000,6700
01-May-11,41039,19916,13195,47,11951,1806120,41000,8800
01-Jun-11,48329,19002,12643,49,11706,2907106,46000,8000
01-Jul-11,44962,18631,12554,46,11460,2823217,43000,8000
01-Aug-11,58661,30208,24378,44,11808,2666816,45000,8500
01-Sep-11,57791,24468,16044,49,12781,2991168,54000,8300
01-Oct-11,,,,38.42936661,11690,2787297,55000,9500
01-Nov-11,,,,37.57210591,11393,2604770,53000,7600
01-Dec-11,,,,47.42913507,15263,3666660,68000,9500
01-Jan-12,,,,49.46925344,11821.8489,2546590.759,53865.82224,8021.75155
01-Feb-12,,,,43.27050698,12024.22199,2952598.324,52939.63449,6779.581754
01-Mar-12,,,,45.53410335,12176.59747,2757283.761,56341.68008,7146.721207
01-Apr-12,,,,40.74395721,12017.78538,2845734.749,59354.39653,8039.308593
01-May-12,,,,43.90247707,12234.52053,2489211.784,58739.71526,7749.298915
01-Jun-12,,,,45.37148658,12246.31952,2806399.837,59630.84193,8426.07154
01-Jul-12,,,,44.8453028,12096.69364,2769827.802,57322.75771,7776.274354
01-Aug-12,,,,43.98428102,12246.22443,2627152.93,58666.50921,7846.041347
01-Sep-12,,,,46.5963475,11576.9816,2902594.188,59267.08611,8387.592746
